DATE,OPEN,HIGH,LOW,CLOSE,VOL
2000-06-06,48.9323,49.132,44.9434,46.2072,13388485.493187
2000-06-07,45.5533,47.0197,42.6275,43.5978,12554878.573367
2000-06-08,43.5978,45.4305,43.481,44.9823,10520255.108206
2000-06-09,45.3926,47.3831,45.3926,46.1263,10189265.878436
2000-06-12,47.2643,47.2643,42.4658,42.9509,6237563.7818741
2000-06-13,41.9766,46.6963,41.9766,44.9434,8483625.0952212
2000-06-14,46.0434,46.5296,43.5978,44.0919,6167190.3529746
2000-06-15,44.2127,44.2127,42.1743,42.912,7471764.0000399
2000-06-16,43.0757,43.3163,40.3515,40.7538,7130948.3960285
2000-06-20,44.8655,49.3815,44.4972,47.9111,12880028.478491
2000-06-21,47.7544,52.0258,47.7095,51.0855,9867809.5039293
2000-06-22,51.8981,51.937,48.4053,49.2987,7401393.5764541
2000-06-23,48.1178,50.4367,48.0798,48.8874,4363052.4146447
2000-06-26,48.8066,49.662,48.1966,48.8874,4203555.404264
2000-06-27,48.7287,49.9865,48.2356,49.096,4517635.7370192
2000-06-28,51.2502,52.1866,50.5974,51.7384,10876282.608726
2000-06-29,51.9849,52.0258,48.8066,49.3815,9519457.5747659
2000-06-30,49.9096,51.7384,47.9381,47.996,9101193.0314803
2000-07-03,48.1587,48.2785,46.6963,47.9581,3512536.5978098
2000-07-05,46.9329,47.3032,45.3097,45.722,5935310.3605566
2000-07-06,45.5533,45.8408,44.4543,44.9823,4617978.1547863
2000-07-07,45.5533,45.8408,43.445,43.9272,6586375.5240436
2000-07-10,44.0919,45.722,44.0051,44.579,5894438.0933485
2000-07-11,44.2526,44.618,43.0318,43.8074,4590777.0598966
2000-07-12,45.189,45.9566,44.2906,44.9055,4168516.4510743
2000-07-13,44.9055,47.1844,44.7418,46.2072,6419649.7322861
2000-07-14,46.5296,50.9258,46.5296,50.1502,8357470.037524
2000-07-17,50.0344,52.6717,49.6241,50.9258,6777529.5078568
2000-07-18,50.7591,50.7591,48.1587,49.8647,4024537.8792064
2000-07-19,49.4594,49.4983,47.3431,48.1966,3889928.8738873
2000-07-20,48.0798,49.662,35.1447,35.1447,3903754.3189789
2000-07-21,33.5146,33.5146,30.0997,31.2766,40055287.687552
2000-07-24,32.5404,32.6611,31.075,32.2129,15373940.021605
2000-07-25,31.9284,32.2129,29.1234,29.1234,10041592.774179
2000-07-26,29.898,30.3403,27.8587,27.9854,12514157.573618
2000-07-27,28.798,29.2462,26.2765,26.521,10826194.045971
2000-07-28,27.1709,27.2567,25.7095,26.8474,10570495.940192
2000-07-31,26.7207,27.4584,26.1088,26.521,8851644.7994361
2000-08-01,26.4821,26.8085,25.7095,26.3563,6519069.5187272
2000-08-02,26.1088,26.8085,25.7095,26.1088,7417986.9155236
2000-08-03,25.4569,26.6817,25.0955,26.6817,9444007.1691455
2000-08-04,26.3563,26.9662,25.7823,26.0728,5663334.4736532
2000-08-07,26.4352,26.8474,25.3411,25.8662,6112175.079187
2000-08-08,25.8273,25.8273,24.855,25.2583,5623379.8289148
2000-08-09,25.2183,25.953,25.0556,25.5827,5144568.2309709
2000-08-10,25.418,25.9061,25.1784,25.378,3433401.6775131
2000-08-11,25.8662,26.558,25.3411,26.4352,3771453.3946317
2000-08-14,27.3316,28.3498,27.0052,28.3089,6084975.9878398
2000-08-15,28.4696,28.798,27.658,27.658,4932367.0330881
2000-08-16,27.8187,28.3089,27.085,28.3089,3452760.9070179
2000-08-17,28.0633,30.7515,28.0633,30.2624,10477533.571261
2000-08-18,37.5824,37.822,35.8335,36.69,19546914.354764
2000-08-21,37.9089,39.3723,37.2959,39.3723,9426494.2040639
2000-08-22,39.2944,39.3723,38.4369,39.3723,5464497.9060847
2000-08-23,38.968,39.4132,38.5966,39.3723,3587219.6466487
2000-08-24,39.2944,39.497,38.4758,38.8861,3331524.5461832
2000-08-25,38.8492,39.0848,37.7841,38.0746,2686453.9818867
2000-08-28,37.9468,38.3181,37.257,38.1484,4076625.9773865
2000-08-29,38.1484,41.6502,38.0746,40.9994,6604814.125765
2000-08-30,41.202,41.6103,39.6198,39.9433,3802802.8242888
2000-08-31,40.102,40.4254,38.8861,39.6997,3824929.9477714
2000-09-01,39.497,40.8007,39.1237,40.2717,3449379.929032
2000-09-05,40.1479,40.675,39.8604,40.2248,2247753.304997
2000-09-06,40.1479,40.5951,38.9251,39.0428,2457043.3556125
2000-09-07,39.0428,40.4254,38.5607,40.2717,2333497.9120348
2000-09-08,39.4132,39.7356,38.4758,38.5607,2215642.529186
2000-09-11,38.395,38.395,36.4454,36.9326,3274205.1985089
2000-09-12,36.3197,37.6663,35.7936,35.7936,3110869.4006786
2000-09-13,36.9326,36.9326,34.8563,35.7936,3872567.1762652
2000-09-14,36.1989,37.257,36.16,36.2807,3922964.2845667
2000-09-15,36.2408,38.2692,36.1989,37.0933,4146846.135284
2000-09-18,37.1752,37.5415,34.1645,35.1447,5199734.772218
2000-09-19,34.8563,35.1447,33.8411,35.0619,3515149.2172431
2000-09-20,34.8563,35.0619,33.6764,34.1645,2163241.8783743
2000-09-21,34.2453,34.2453,30.5878,31.2387,3220273.8412194
2000-09-22,31.2766,32.5404,31.1598,32.5404,3786826.5763124
2000-09-25,32.7021,33.7991,31.3595,31.4383,2625299.8538479
2000-09-26,31.5641,32.0922,29.363,29.4079,3352575.7673379
2000-09-27,30.0578,30.4241,28.8828,29.935,4305120.9847335
2000-09-28,29.9739,31.5252,29.9739,31.2057,4643486.2562549
2000-09-29,31.4383,32.3727,31.1139,31.8496,4042053.8496018
2000-10-02,31.9684,33.4378,31.9684,32.9077,3306480.2648057
2000-10-03,33.1882,36.119,32.738,34.5678,6106951.8438629
2000-10-04,34.414,38.1484,34.1645,37.6663,6079596.4761999
2000-10-05,37.7072,37.7072,35.548,35.8735,4395321.470314
2000-10-06,36.3197,36.4055,33.315,33.9668,3068611.6838247
2000-10-09,33.9189,33.9189,32.6162,32.9876,2375904.8928057
2000-10-10,33.5945,34.452,31.4852,32.2519,3396830.0143032
2000-10-11,31.2387,31.4383,29.1613,29.8142,6075913.9650661
2000-10-12,30.464,30.6637,28.1851,29.1234,4590777.0598966
2000-10-13,28.3089,29.3221,27.8587,28.8828,5578661.7618584
2000-10-16,29.2063,31.6869,28.9996,30.2205,4569412.284339
2000-10-17,30.3033,30.3403,27.7329,28.1851,3169106.3708226
2000-10-18,26.3962,27.6201,25.5428,26.6029,6196840.778583
2000-10-19,27.658,29.2462,27.5362,28.4696,5055911.4748946
2000-10-20,28.4696,31.035,28.4296,30.3033,5115067.0692795
2000-10-23,30.3033,33.7612,29.6106,33.2281,5534411.5219781
2000-10-24,33.2281,33.3539,30.9132,31.2766,3974595.5750546
2000-10-25,29.2063,29.4868,27.4983,27.7329,5790868.9703687
2000-10-26,27.7329,28.9996,27.3316,28.6353,7011556.2960745
2000-10-27,29.8611,30.7515,29.2462,29.7733,4976005.1907315
2000-10-30,29.1613,29.935,28.4696,29.6106,2989165.2126678
2000-10-31,29.6884,30.9911,29.6884,30.1366,4300975.6552799
2000-11-01,29.935,30.7885,29.6495,30.464,3735038.0077375
2000-11-02,30.6637,31.6869,30.51,31.3185,3773148.3915953
2000-11-03,30.9911,31.035,29.8142,30.464,2612391.0294546
2000-11-06,30.5479,30.5479,29.8611,30.1815,2600406.8399299
