DATE,OPEN,HIGH,LOW,CLOSE,VOL
2015-07-09,153.918,155.237,153.353,154.672,2000664.2855828
2015-07-10,156.466,157.457,155.524,156.614,530137.51026754
2015-07-13,157.526,161.581,157.447,161.561,1686189.3881698
2015-07-14,161.64,162.126,159.41,159.549,868874.64077344
2015-07-15,159.549,161.393,158.825,160.748,676447.3202073
2015-07-16,161.184,162.057,160.55,161.611,599929.13366361
2015-07-17,161.343,162.106,160.352,161.938,547741.77743748
2015-07-20,161.938,162.225,160.53,160.966,503623.67415343
2015-07-21,160.818,161.204,158.914,159.866,550779.22219415
2015-07-22,159.816,162.077,159.192,160.51,1061425.0328309
2015-07-23,161.323,163.276,160.54,160.669,618372.70805293
2015-07-24,160.937,162.285,160.094,160.59,554867.81854048
2015-07-27,159.866,161.442,158.865,160.619,614389.02510902
2015-07-28,161.343,162.929,159.995,162.513,430795.6147834
2015-07-29,162.85,165.645,162.116,165.159,878144.34514708
2015-07-30,165.08,165.715,163.098,164.644,534119.17564602
2015-07-31,165.487,166.983,164.188,166.22,675168.18372392
2015-08-03,166.914,167.092,164.337,165.834,495038.93324367
2015-08-04,166.309,168.034,165.734,167.083,497863.52484735
2015-08-05,167.489,169.115,166.101,167.241,849325.44052782
2015-08-06,167.548,167.727,163.524,164.842,625398.87966708
2015-08-07,164.862,166.042,163.702,165.774,560002.52256288
2015-08-10,166.855,167.291,165.021,165.695,982413.13541422
2015-08-11,164.842,165.754,163.722,164.059,2167373.6995975
2015-08-12,162.879,164.684,161.65,164.129,3109770.4422493
2015-08-13,165.913,183.479,165.1,179.216,3925254.2490168
2015-08-14,180.049,181.466,178.235,178.502,1312607.8938844
2015-08-17,178.691,179.474,174.765,176.262,1656322.3583091
2015-08-18,177.719,177.769,175.191,177.283,1580246.0185948
2015-08-19,176.807,179.9,175.974,179.266,956217.06585552
2015-08-20,178.929,179.087,175.955,176.024,620992.51676534
2015-08-21,173.823,175.528,169.125,169.422,1459312.137866
2015-08-24,165.328,170.532,144.392,165.774,1534634.9168917
2015-08-25,169.372,170.939,163.326,163.395,1093908.8450559
2015-08-26,165.952,166.478,161.393,163.623,2112897.4153896
2015-08-27,164.912,168.223,164.366,168.153,1667851.7359657
2015-08-28,167.469,168.748,166.666,168.401,673174.8290779
2015-08-31,167.856,168.907,166.309,167.221,995509.15262814
2015-09-01,164.981,165.933,163.633,164.723,842203.43455569
2015-09-02,165.744,168.044,164.872,167.221,465585.5042963
2015-09-03,167.955,168.956,164.803,165.308,763296.45054146
2015-09-04,163.97,165.457,163.147,164.257,720541.21270618
2015-09-08,166.736,168.252,164.049,167.291,647712.14455344
2015-09-09,168.034,170.245,166.359,166.904,1073686.786739
2015-09-10,166.399,168.619,165.199,166.864,928033.69434708
2015-09-11,165.734,167.42,164.902,166.825,1177430.0012113
2015-09-14,167.083,167.975,165.526,166.983,583057.2427452
2015-09-15,167.013,169.709,165.417,168.768,861802.06515436
2015-09-16,167.925,170.869,167.439,170.483,499405.9536195
2015-09-17,170.284,172.812,169.472,170.185,804757.42015262
2015-09-18,168.381,169.521,165.427,165.784,966261.51535474
2015-09-21,166.389,167.658,165.199,166.795,475694.51588933
2015-09-22,165.764,167.043,164.703,166.508,694003.16580689
2015-09-23,166.428,168.074,166.032,167.876,330763.71192179
2015-09-24,167.221,167.221,165.715,166.845,447504.08290188
2015-09-25,167.846,170.651,167.608,168.817,504813.02897512
2015-09-28,168.51,169.7,163.504,163.623,1071948.65412
2015-09-29,163.494,164.485,161.71,162.79,947198.54837805
2015-09-30,175.152,183.776,175.142,180.931,4315494.7810677
2015-10-01,181.655,183.915,179.573,183.32,1662359.9228619
2015-10-02,181.199,183.3,179.503,182.983,1340971.8374989
2015-10-05,184.757,185.798,180.822,182.477,929858.5822796
